ArcGIS Pro,CitySim,GRASS GIS,Ladybug,SAGA GIS,SimStadt,Weather data,doy,month,diff_ArcGIS Pro,diff_p_ArcGIS Pro,diff_CitySim,diff_p_CitySim,diff_GRASS GIS,diff_p_GRASS GIS,diff_Ladybug,diff_p_Ladybug,diff_SAGA GIS,diff_p_SAGA GIS,diff_SimStadt,diff_p_SimStadt
3.76,4.55,8.19,4.42,9.64,2.69,5.16,163,6,1.4,-0.27,0.61,-0.12,3.03,0.59,0.75,-0.14,4.48,0.87,2.47,-0.48
3.17,4.32,8.2,4.62,9.65,2.82,5.44,164,6,2.27,-0.42,1.12,-0.21,2.76,0.51,0.82,-0.15,4.21,0.77,2.62,-0.48
2.02,4.52,8.21,4.33,9.75,2.68,5.2,165,6,3.18,-0.61,0.68,-0.13,3.01,0.58,0.87,-0.17,4.55,0.88,2.52,-0.49
2.14,4.2,8.22,4.54,9.76,2.6,5.41,166,6,3.28,-0.61,1.21,-0.22,2.81,0.52,0.87,-0.16,4.35,0.8,2.81,-0.52
3.36,4.4,8.22,4.48,9.77,2.7,5.27,167,6,1.91,-0.36,0.87,-0.16,2.96,0.56,0.79,-0.15,4.5,0.85,2.57,-0.49
1.79,4.38,8.23,4.89,9.77,2.66,5.78,168,6,3.99,-0.69,1.4,-0.24,2.45,0.42,0.89,-0.15,3.99,0.69,3.11,-0.54
1.87,4.78,8.23,4.47,9.78,2.77,5.22,169,6,3.35,-0.64,0.44,-0.08,3.01,0.58,0.75,-0.14,4.55,0.87,2.45,-0.47
1.6,4.34,8.23,4.41,9.78,2.7,5.26,170,6,3.66,-0.7,0.92,-0.17,2.97,0.56,0.86,-0.16,4.52,0.86,2.56,-0.49
5.58,4.27,8.23,4.18,9.79,2.68,4.92,171,6,0.66,0.13,0.65,-0.13,3.32,0.68,0.74,-0.15,4.87,0.99,2.24,-0.46
5.58,4.06,8.23,3.93,9.79,2.72,4.64,172,6,0.94,0.2,0.58,-0.12,3.6,0.78,0.71,-0.15,5.15,1.11,1.92,-0.41
1.49,3.82,8.23,4.32,9.79,2.88,5.06,173,6,3.57,-0.71,1.23,-0.24,3.18,0.63,0.74,-0.15,4.74,0.94,2.17,-0.43
1.92,4.2,8.23,4.44,9.79,2.61,5.27,174,6,3.36,-0.64,1.07,-0.2,2.96,0.56,0.83,-0.16,4.52,0.86,2.66,-0.5
1.52,4.33,8.23,4.5,9.79,2.69,5.2,175,6,3.68,-0.71,0.86,-0.17,3.03,0.58,0.7,-0.13,4.6,0.88,2.51,-0.48
3.42,4.37,8.22,4.4,9.79,2.58,5.13,176,6,1.71,-0.33,0.75,-0.15,3.1,0.6,0.73,-0.14,4.67,0.91,2.54,-0.5
2.38,4.25,8.22,4.99,9.79,2.64,6.02,177,6,3.65,-0.61,1.77,-0.29,2.19,0.36,1.03,-0.17,3.77,0.63,3.38,-0.56
1.98,4.82,8.21,4.58,9.79,2.69,5.36,178,6,3.38,-0.63,0.53,-0.1,2.85,0.53,0.78,-0.15,4.43,0.83,2.67,-0.5
2.83,4.44,8.2,4.64,9.78,2.78,5.34,179,6,2.51,-0.47,0.91,-0.17,2.86,0.53,0.71,-0.13,4.44,0.83,2.57,-0.48
3.15,4.49,8.19,4.29,9.78,2.63,4.97,180,6,1.82,-0.37,0.49,-0.1,3.22,0.65,0.68,-0.14,4.81,0.97,2.34,-0.47
4.35,4.16,8.18,4.14,9.78,2.52,4.84,181,6,0.49,-0.1,0.68,-0.14,3.34,0.69,0.7,-0.14,4.94,1.02,2.32,-0.48
3.49,4.06,8.16,4.43,9.77,2.66,5.15,182,7,1.66,-0.32,1.1,-0.21,3.0,0.58,0.72,-0.14,4.61,0.9,2.49,-0.48
4.35,4.33,8.14,4.64,9.76,2.81,5.49,183,7,1.14,-0.21,1.16,-0.21,2.65,0.48,0.85,-0.15,4.27,0.78,2.68,-0.49
3.34,4.5,8.13,4.18,9.75,2.54,5.0,184,7,1.66,-0.33,0.5,-0.1,3.13,0.63,0.82,-0.16,4.76,0.95,2.46,-0.49
4.06,4.05,8.12,4.39,9.75,2.57,5.27,185,7,1.21,-0.23,1.22,-0.23,2.84,0.54,0.88,-0.17,4.47,0.85,2.71,-0.51
3.8,4.26,8.1,4.27,9.74,2.68,4.97,186,7,1.17,-0.24,0.71,-0.14,3.13,0.63,0.7,-0.14,4.77,0.96,2.3,-0.46
3.73,4.15,8.08,4.31,9.73,2.73,5.11,187,7,1.38,-0.27,0.96,-0.19,2.97,0.58,0.8,-0.16,4.62,0.9,2.38,-0.47
4.03,4.19,8.06,4.63,9.63,2.81,5.47,188,7,1.44,-0.26,1.28,-0.23,2.59,0.47,0.85,-0.15,4.15,0.76,2.66,-0.49
4.88,4.53,8.05,3.92,9.61,2.6,4.53,189,7,0.35,0.08,0.0,-0.0,3.52,0.78,0.61,-0.13,5.08,1.12,1.93,-0.43
3.18,3.8,8.02,4.0,9.6,2.66,4.71,190,7,1.53,-0.32,0.9,-0.19,3.32,0.71,0.7,-0.15,4.9,1.04,2.05,-0.43
5.16,3.89,8.0,4.41,9.59,2.65,5.16,191,7,0.0,-0.0,1.27,-0.25,2.84,0.55,0.75,-0.15,4.42,0.86,2.51,-0.49
4.86,4.29,7.98,4.5,9.57,2.81,5.23,192,7,0.37,-0.07,0.94,-0.18,2.75,0.53,0.73,-0.14,4.35,0.83,2.41,-0.46
4.81,4.38,7.96,4.25,9.56,2.6,4.94,193,7,0.14,-0.03,0.57,-0.11,3.01,0.61,0.69,-0.14,4.61,0.93,2.34,-0.47
4.18,4.14,7.93,4.22,9.54,2.57,5.0,194,7,0.82,-0.16,0.86,-0.17,2.93,0.59,0.78,-0.16,4.54,0.91,2.43,-0.49
4.54,4.11,7.91,3.94,9.52,2.52,4.58,195,7,0.04,-0.01,0.46,-0.1,3.33,0.73,0.64,-0.14,4.95,1.08,2.06,-0.45
5.26,3.84,7.88,4.27,9.5,2.69,5.09,196,7,0.17,0.03,1.25,-0.25,2.79,0.55,0.81,-0.16,4.42,0.87,2.4,-0.47
4.78,4.15,7.85,4.13,9.48,2.74,4.77,197,7,0.01,0.0,0.61,-0.13,3.08,0.65,0.64,-0.13,4.72,0.99,2.03,-0.43
4.84,4.03,7.82,4.49,9.47,2.65,5.46,198,7,0.62,-0.11,1.43,-0.26,2.36,0.43,0.97,-0.18,4.01,0.73,2.81,-0.52
4.67,4.38,7.79,4.4,9.45,2.62,5.36,199,7,0.69,-0.13,0.98,-0.18,2.43,0.45,0.96,-0.18,4.09,0.76,2.74,-0.51
4.64,4.28,7.76,4.51,9.43,2.72,5.44,200,7,0.79,-0.15,1.16,-0.21,2.32,0.43,0.93,-0.17,3.99,0.73,2.72,-0.5
5.12,4.39,7.72,4.37,9.4,2.7,5.21,201,7,0.09,-0.02,0.82,-0.16,2.51,0.48,0.84,-0.16,4.19,0.8,2.51,-0.48
4.54,4.25,7.69,4.15,9.38,2.57,5.06,202,7,0.52,-0.1,0.81,-0.16,2.63,0.52,0.91,-0.18,4.32,0.85,2.5,-0.49
4.56,4.05,7.66,4.21,9.36,2.76,5.03,203,7,0.47,-0.09,0.98,-0.19,2.63,0.52,0.81,-0.16,4.33,0.86,2.27,-0.45
4.53,4.13,7.62,4.1,9.33,2.58,4.87,204,7,0.34,-0.07,0.74,-0.15,2.76,0.57,0.77,-0.16,4.46,0.92,2.29,-0.47
4.5,4.01,7.59,4.24,9.3,2.63,5.06,205,7,0.57,-0.11,1.05,-0.21,2.52,0.5,0.82,-0.16,4.24,0.84,2.44,-0.48
4.96,4.14,7.55,4.02,9.28,2.52,4.75,206,7,0.21,0.04,0.61,-0.13,2.8,0.59,0.74,-0.16,4.53,0.95,2.23,-0.47
4.75,3.92,7.51,4.3,9.25,2.52,5.21,207,7,0.47,-0.09,1.29,-0.25,2.3,0.44,0.91,-0.18,4.04,0.77,2.7,-0.52
4.4,4.2,7.47,3.81,9.22,2.56,4.48,208,7,0.08,-0.02,0.28,-0.06,2.99,0.67,0.67,-0.15,4.74,1.06,1.92,-0.43
4.86,3.73,7.43,4.13,9.19,2.61,4.91,209,7,0.05,-0.01,1.19,-0.24,2.52,0.51,0.78,-0.16,4.28,0.87,2.31,-0.47
4.82,4.05,7.39,4.13,9.16,2.61,4.89,210,7,0.07,-0.01,0.84,-0.17,2.5,0.51,0.75,-0.15,4.28,0.88,2.27,-0.47
4.78,4.04,7.34,4.1,8.47,2.47,4.96,211,7,0.18,-0.04,0.92,-0.18,2.38,0.48,0.86,-0.17,3.51,0.71,2.49,-0.5
4.09,4.0,7.3,3.89,8.43,2.55,4.68,212,7,0.59,-0.13,0.68,-0.14,2.61,0.56,0.79,-0.17,3.75,0.8,2.14,-0.46
4.7,3.81,7.13,4.13,8.4,2.53,4.9,213,8,0.2,-0.04,1.09,-0.22,2.23,0.45,0.77,-0.16,3.5,0.71,2.37,-0.48
4.66,3.98,7.08,4.08,8.8,2.4,4.94,214,8,0.27,-0.06,0.95,-0.19,2.15,0.44,0.85,-0.17,3.87,0.78,2.54,-0.51
4.15,3.99,7.04,3.95,8.76,2.43,4.78,215,8,0.63,-0.13,0.79,-0.17,2.26,0.47,0.83,-0.17,3.98,0.83,2.35,-0.49
4.42,3.86,7.0,4.34,8.73,2.43,5.31,216,8,0.89,-0.17,1.45,-0.27,1.69,0.32,0.97,-0.18,3.41,0.64,2.88,-0.54
4.54,4.24,6.95,4.21,8.68,2.35,5.15,217,8,0.61,-0.12,0.91,-0.18,1.8,0.35,0.93,-0.18,3.54,0.69,2.8,-0.54
4.03,4.12,6.91,4.12,8.64,2.37,5.09,218,8,1.06,-0.21,0.96,-0.19,1.82,0.36,0.97,-0.19,3.56,0.7,2.72,-0.53
4.45,4.02,6.86,3.58,8.6,2.25,4.39,219,8,0.07,0.02,0.36,-0.08,2.47,0.56,0.81,-0.18,4.22,0.96,2.13,-0.49
4.41,3.51,6.81,3.85,8.56,2.47,4.55,220,8,0.15,-0.03,1.05,-0.23,2.26,0.5,0.7,-0.15,4.01,0.88,2.09,-0.46
3.91,3.78,6.76,3.7,8.52,2.23,4.52,221,8,0.62,-0.14,0.74,-0.16,2.24,0.5,0.83,-0.18,3.99,0.88,2.29,-0.51
4.32,3.57,6.71,3.49,8.47,2.28,4.23,222,8,0.09,0.02,0.66,-0.16,2.48,0.59,0.74,-0.17,4.25,1.0,1.95,-0.46
4.27,3.42,6.66,3.71,8.43,2.29,4.47,223,8,0.2,-0.05,1.05,-0.23,2.19,0.49,0.76,-0.17,3.95,0.88,2.19,-0.49
3.64,3.64,6.61,3.34,8.38,2.08,4.07,224,8,0.43,-0.1,0.42,-0.1,2.54,0.62,0.73,-0.18,4.31,1.06,1.99,-0.49
4.18,3.24,6.56,3.56,8.34,2.28,4.43,225,8,0.25,-0.06,1.2,-0.27,2.13,0.48,0.87,-0.2,3.9,0.88,2.15,-0.49
4.0,3.5,6.51,3.67,8.29,2.28,4.55,226,8,0.56,-0.12,1.06,-0.23,1.95,0.43,0.89,-0.19,3.73,0.82,2.27,-0.5
3.65,3.55,6.45,3.57,8.16,2.38,4.23,227,8,0.58,-0.14,0.67,-0.16,2.23,0.53,0.65,-0.15,3.94,0.93,1.84,-0.44
4.03,3.47,6.39,3.56,8.12,2.22,4.42,228,8,0.39,-0.09,0.95,-0.22,1.97,0.44,0.87,-0.2,3.69,0.83,2.2,-0.5
3.98,3.44,6.34,3.26,8.07,2.1,3.88,229,8,0.1,0.03,0.44,-0.11,2.46,0.63,0.62,-0.16,4.19,1.08,1.78,-0.46
3.51,3.16,6.28,3.38,8.02,2.11,4.11,230,8,0.6,-0.15,0.96,-0.23,2.17,0.53,0.74,-0.18,3.91,0.95,2.0,-0.49
3.88,3.27,6.23,3.49,7.97,2.18,4.3,231,8,0.41,-0.1,1.02,-0.24,1.93,0.45,0.81,-0.19,3.68,0.86,2.11,-0.49
3.42,3.38,6.18,3.31,7.92,2.19,4.05,232,8,0.64,-0.16,0.68,-0.17,2.12,0.52,0.75,-0.18,3.87,0.95,1.86,-0.46
3.78,3.2,6.12,3.22,7.87,2.18,3.9,233,8,0.13,-0.03,0.7,-0.18,2.22,0.57,0.68,-0.18,3.97,1.02,1.72,-0.44
3.73,3.12,6.06,3.01,7.82,2.08,3.67,234,8,0.06,0.02,0.55,-0.15,2.4,0.65,0.66,-0.18,4.15,1.13,1.59,-0.43
3.17,2.92,6.01,3.3,7.77,2.1,4.13,235,8,0.96,-0.23,1.21,-0.29,1.88,0.46,0.83,-0.2,3.64,0.88,2.02,-0.49
3.62,3.2,5.95,3.4,7.72,2.12,4.28,236,8,0.66,-0.15,1.08,-0.25,1.67,0.39,0.88,-0.2,3.44,0.8,2.15,-0.5
3.18,3.3,5.89,3.04,7.66,2.07,3.69,237,8,0.51,-0.14,0.39,-0.11,2.2,0.6,0.65,-0.18,3.97,1.08,1.62,-0.44
3.42,2.96,5.83,2.97,7.61,1.97,3.72,238,8,0.3,-0.08,0.76,-0.2,2.12,0.57,0.74,-0.2,3.89,1.05,1.74,-0.47
3.46,2.89,5.78,2.7,9.3,1.93,3.31,239,8,0.15,0.05,0.42,-0.13,2.47,0.74,0.61,-0.18,5.99,1.81,1.38,-0.42
3.03,2.63,5.71,2.94,9.24,2.05,3.7,240,8,0.67,-0.18,1.07,-0.29,2.01,0.54,0.76,-0.21,5.54,1.5,1.64,-0.44
3.36,2.87,5.65,2.97,9.2,2.06,3.74,241,8,0.38,-0.1,0.86,-0.23,1.92,0.51,0.77,-0.21,5.47,1.46,1.67,-0.45
2.93,2.89,5.59,2.99,9.14,2.01,3.74,242,8,0.81,-0.22,0.84,-0.23,1.85,0.5,0.75,-0.2,5.4,1.44,1.73,-0.46
3.25,2.91,5.53,3.04,9.08,2.0,3.88,243,8,0.64,-0.16,0.98,-0.25,1.65,0.42,0.84,-0.22,5.19,1.34,1.88,-0.48
3.19,2.97,5.93,2.75,9.01,2.01,3.41,244,9,0.22,-0.06,0.45,-0.13,2.52,0.74,0.67,-0.2,5.6,1.64,1.4,-0.41
3.14,2.69,5.87,2.69,8.95,1.84,3.49,245,9,0.35,-0.1,0.8,-0.23,2.38,0.68,0.8,-0.23,5.46,1.56,1.65,-0.47
3.09,2.63,5.8,2.86,8.88,1.91,3.73,246,9,0.65,-0.17,1.1,-0.3,2.07,0.55,0.87,-0.23,5.15,1.38,1.82,-0.49
2.69,2.8,5.74,2.92,8.81,2.0,3.78,247,9,1.09,-0.29,0.98,-0.26,1.96,0.52,0.86,-0.23,5.03,1.33,1.78,-0.47
2.98,2.85,5.67,3.03,8.75,1.92,3.96,248,9,0.99,-0.25,1.11,-0.28,1.71,0.43,0.93,-0.24,4.78,1.21,2.04,-0.51
2.59,2.96,5.61,2.78,8.55,1.94,3.51,249,9,0.93,-0.26,0.55,-0.16,2.1,0.6,0.73,-0.21,5.03,1.43,1.57,-0.45
2.87,2.72,5.54,2.58,8.48,1.89,3.22,250,9,0.36,-0.11,0.5,-0.16,2.32,0.72,0.64,-0.2,5.26,1.63,1.33,-0.41
2.81,2.53,5.48,2.42,8.42,1.66,3.03,251,9,0.22,-0.07,0.5,-0.17,2.44,0.81,0.61,-0.2,5.39,1.78,1.37,-0.45
2.76,2.37,5.41,2.57,8.35,1.76,3.29,252,9,0.54,-0.16,0.92,-0.28,2.12,0.64,0.72,-0.22,5.06,1.54,1.53,-0.46
2.7,2.52,5.34,2.48,8.29,1.81,3.16,253,9,0.45,-0.14,0.64,-0.2,2.19,0.69,0.67,-0.21,5.13,1.63,1.35,-0.43
2.34,2.44,5.27,2.35,8.22,1.72,2.98,254,9,0.64,-0.21,0.54,-0.18,2.3,0.77,0.63,-0.21,5.24,1.76,1.25,-0.42
2.6,2.32,5.2,2.4,8.15,1.74,3.1,255,9,0.5,-0.16,0.78,-0.25,2.1,0.68,0.69,-0.22,5.06,1.63,1.36,-0.44
2.24,2.37,5.13,2.54,8.09,1.79,3.31,256,9,1.07,-0.32,0.94,-0.28,1.82,0.55,0.77,-0.23,4.77,1.44,1.52,-0.46
2.49,2.5,5.07,2.2,8.02,1.6,2.86,257,9,0.38,-0.13,0.36,-0.13,2.2,0.77,0.66,-0.23,5.15,1.8,1.27,-0.44
2.43,2.17,5.0,2.37,8.29,1.72,3.12,258,9,0.69,-0.22,0.95,-0.3,1.88,0.6,0.75,-0.24,5.17,1.66,1.4,-0.45
2.38,2.34,4.92,2.41,8.22,1.77,3.15,259,9,0.77,-0.24,0.81,-0.26,1.78,0.56,0.74,-0.24,5.07,1.61,1.38,-0.44
2.33,2.38,4.86,2.07,8.15,1.6,2.66,260,9,0.34,-0.13,0.28,-0.11,2.19,0.82,0.59,-0.22,5.48,2.06,1.06,-0.4
2.27,2.05,4.79,2.35,8.07,1.74,3.09,261,9,0.81,-0.26,1.03,-0.34,1.7,0.55,0.73,-0.24,4.99,1.62,1.34,-0.44
2.22,2.34,4.72,2.34,7.87,1.74,3.14,262,9,0.92,-0.29,0.8,-0.26,1.58,0.5,0.8,-0.25,4.73,1.51,1.4,-0.45
1.91,2.32,4.66,2.0,7.8,1.54,2.6,263,9,0.69,-0.27,0.27,-0.11,2.06,0.79,0.6,-0.23,5.2,2.0,1.05,-0.41
2.12,1.98,4.59,2.21,7.57,1.7,2.94,264,9,0.83,-0.28,0.96,-0.33,1.65,0.56,0.73,-0.25,4.62,1.57,1.24,-0.42
1.81,2.19,4.52,2.13,7.5,1.62,2.84,265,9,1.03,-0.36,0.65,-0.23,1.68,0.59,0.71,-0.25,4.66,1.64,1.22,-0.43
2.01,2.05,4.46,1.98,7.43,1.6,2.56,266,9,0.54,-0.21,0.5,-0.2,1.9,0.74,0.58,-0.23,4.87,1.9,0.96,-0.38
1.72,1.91,4.39,1.95,7.35,1.52,2.58,267,9,0.86,-0.33,0.67,-0.26,1.81,0.7,0.63,-0.25,4.77,1.85,1.06,-0.41
1.92,1.92,4.32,2.03,7.28,1.56,2.7,268,9,0.79,-0.29,0.78,-0.29,1.62,0.6,0.68,-0.25,4.58,1.69,1.14,-0.42
1.87,1.96,4.26,1.79,7.21,1.45,2.26,269,9,0.39,-0.17,0.3,-0.13,2.0,0.88,0.47,-0.21,4.95,2.19,0.81,-0.36
1.82,1.74,4.18,1.84,7.14,1.45,2.45,270,9,0.63,-0.26,0.71,-0.29,1.73,0.71,0.61,-0.25,4.69,1.91,1.0,-0.41
1.77,1.78,4.12,1.85,7.06,1.48,2.38,271,9,0.62,-0.26,0.6,-0.25,1.73,0.73,0.53,-0.22,4.68,1.96,0.9,-0.38
1.61,1.8,4.05,1.7,6.99,1.36,2.26,272,9,0.65,-0.29,0.47,-0.21,1.79,0.79,0.56,-0.25,4.73,2.09,0.9,-0.4
1.67,1.66,3.98,1.83,6.92,1.43,2.44,273,9,0.77,-0.31,0.78,-0.32,1.55,0.63,0.61,-0.25,4.48,1.84,1.01,-0.41
1.42,1.77,3.88,1.61,6.72,1.29,2.16,274,10,0.74,-0.34,0.38,-0.18,1.72,0.8,0.54,-0.25,4.56,2.12,0.87,-0.4
1.58,1.57,3.81,1.64,6.65,1.32,2.19,275,10,0.61,-0.28,0.62,-0.28,1.62,0.74,0.55,-0.25,4.46,2.03,0.87,-0.4
1.34,1.59,3.75,1.47,6.58,1.23,1.93,276,10,0.59,-0.31,0.34,-0.18,1.82,0.94,0.46,-0.24,4.65,2.41,0.7,-0.36
1.49,1.44,3.69,1.68,6.51,1.38,2.2,277,10,0.71,-0.32,0.76,-0.35,1.48,0.67,0.52,-0.24,4.3,1.95,0.83,-0.38
1.44,1.65,3.62,1.45,6.44,1.2,1.9,278,10,0.46,-0.24,0.26,-0.13,1.72,0.9,0.45,-0.24,4.53,2.38,0.7,-0.37
1.4,1.41,3.56,1.43,6.36,1.12,1.86,279,10,0.45,-0.24,0.44,-0.24,1.7,0.92,0.43,-0.23,4.51,2.43,0.73,-0.39
1.36,1.39,3.5,1.56,6.29,1.25,2.07,280,10,0.71,-0.34,0.68,-0.33,1.43,0.69,0.51,-0.24,4.23,2.05,0.81,-0.39
1.15,1.52,3.43,1.37,6.41,1.12,1.8,281,10,0.65,-0.36,0.28,-0.16,1.64,0.91,0.43,-0.24,4.61,2.57,0.67,-0.37
1.28,1.32,3.37,1.5,6.34,1.2,2.04,282,10,0.77,-0.38,0.72,-0.35,1.33,0.65,0.54,-0.26,4.29,2.1,0.85,-0.42
1.07,1.46,3.31,1.56,6.26,1.2,2.17,283,10,1.1,-0.51,0.71,-0.33,1.14,0.52,0.61,-0.28,4.09,1.88,0.98,-0.45
1.19,1.51,3.24,1.36,6.18,1.04,1.9,284,10,0.7,-0.37,0.39,-0.2,1.34,0.71,0.54,-0.28,4.28,2.26,0.86,-0.45
1.16,1.31,3.18,1.36,6.11,1.09,1.85,285,10,0.69,-0.37,0.54,-0.29,1.33,0.72,0.49,-0.27,4.26,2.31,0.75,-0.41
1.12,1.32,3.12,1.34,6.03,1.0,1.83,286,10,0.72,-0.39,0.52,-0.28,1.29,0.7,0.49,-0.27,4.2,2.29,0.84,-0.46
1.08,1.3,3.06,1.31,5.83,0.98,1.85,287,10,0.77,-0.42,0.55,-0.3,1.21,0.65,0.54,-0.29,3.98,2.15,0.87,-0.47
0.9,1.28,3.0,1.25,5.76,0.91,1.79,288,10,0.89,-0.5,0.51,-0.28,1.22,0.68,0.54,-0.3,3.97,2.22,0.87,-0.49
1.01,1.21,2.93,1.3,5.56,0.94,1.87,289,10,0.86,-0.46,0.66,-0.35,1.07,0.57,0.57,-0.31,3.69,1.97,0.93,-0.5
0.97,1.26,2.88,1.31,5.49,0.92,1.87,290,10,0.9,-0.48,0.62,-0.33,1.0,0.54,0.57,-0.3,3.62,1.93,0.95,-0.51
0.94,1.26,2.82,1.31,5.42,0.92,1.93,291,10,0.99,-0.51,0.66,-0.34,0.9,0.46,0.62,-0.32,3.5,1.82,1.01,-0.52
0.9,1.26,2.77,1.23,5.36,0.9,1.73,292,10,0.83,-0.48,0.47,-0.27,1.03,0.6,0.51,-0.29,3.62,2.09,0.83,-0.48
0.75,1.19,2.71,1.08,5.28,0.81,1.44,293,10,0.69,-0.48,0.25,-0.18,1.27,0.88,0.36,-0.25,3.84,2.66,0.63,-0.44
0.84,1.04,2.66,1.03,5.22,0.81,1.34,294,10,0.5,-0.37,0.3,-0.22,1.32,0.99,0.31,-0.23,3.88,2.9,0.53,-0.4
0.81,0.96,2.6,1.15,4.3,0.84,1.62,295,10,0.82,-0.5,0.67,-0.41,0.98,0.6,0.48,-0.29,2.68,1.65,0.78,-0.48
0.67,1.12,2.55,1.09,3.3,0.81,1.49,296,10,0.82,-0.55,0.37,-0.25,1.06,0.71,0.4,-0.27,1.81,1.22,0.68,-0.46
0.75,1.06,2.5,0.97,3.25,0.75,1.27,297,10,0.52,-0.41,0.22,-0.17,1.22,0.96,0.3,-0.24,1.98,1.56,0.52,-0.41
0.62,0.9,2.44,0.89,3.21,0.73,1.1,298,10,0.48,-0.44,0.2,-0.18,1.33,1.21,0.21,-0.19,2.11,1.91,0.37,-0.33
0.69,0.83,2.39,1.0,3.17,0.8,1.32,299,10,0.63,-0.48,0.49,-0.37,1.06,0.8,0.32,-0.24,1.84,1.39,0.52,-0.39
0.67,0.94,2.34,0.9,3.12,0.7,1.27,300,10,0.61,-0.48,0.33,-0.26,1.06,0.84,0.37,-0.29,1.85,1.45,0.57,-0.45
0.55,0.88,2.29,0.96,3.08,0.73,1.34,301,10,0.8,-0.59,0.46,-0.34,0.94,0.7,0.39,-0.29,1.74,1.29,0.61,-0.45
0.61,0.93,2.24,0.92,3.04,0.72,1.29,302,10,0.67,-0.52,0.35,-0.27,0.95,0.74,0.36,-0.28,1.75,1.36,0.57,-0.44
0.59,0.86,2.19,0.86,3.0,0.71,1.14,303,10,0.55,-0.48,0.28,-0.24,1.05,0.92,0.28,-0.24,1.86,1.63,0.43,-0.38
0.48,0.81,2.13,0.89,2.86,0.7,1.21,304,10,0.73,-0.6,0.41,-0.33,0.92,0.76,0.33,-0.27,1.65,1.36,0.51,-0.42
0.54,0.83,1.96,0.74,2.74,0.62,0.97,305,11,0.42,-0.44,0.14,-0.14,0.99,1.02,0.23,-0.23,1.77,1.83,0.35,-0.36
0.52,0.7,1.92,0.77,2.7,0.64,1.03,306,11,0.5,-0.49,0.33,-0.32,0.89,0.87,0.25,-0.25,1.68,1.64,0.38,-0.37
0.43,0.73,1.87,0.79,2.67,0.67,1.02,307,11,0.59,-0.58,0.29,-0.28,0.86,0.84,0.23,-0.22,1.66,1.63,0.35,-0.34
0.48,0.75,1.83,0.78,2.64,0.62,1.12,308,11,0.64,-0.57,0.37,-0.33,0.71,0.63,0.34,-0.3,1.52,1.35,0.51,-0.45
0.46,0.73,1.79,0.78,2.61,0.64,1.05,309,11,0.59,-0.56,0.32,-0.3,0.74,0.71,0.27,-0.26,1.56,1.49,0.41,-0.39
0.38,0.74,1.75,0.75,2.59,0.64,0.99,310,11,0.61,-0.62,0.25,-0.25,0.77,0.78,0.24,-0.24,1.6,1.63,0.34,-0.35
0.42,0.71,1.71,0.61,3.58,0.53,0.8,311,11,0.38,-0.47,0.09,-0.12,0.91,1.14,0.2,-0.24,2.77,3.46,0.27,-0.34
0.4,0.58,1.67,0.71,3.55,0.59,0.93,312,11,0.53,-0.57,0.35,-0.38,0.74,0.79,0.22,-0.24,2.62,2.81,0.34,-0.36
0.33,0.67,1.63,0.73,3.52,0.61,0.98,313,11,0.65,-0.66,0.31,-0.32,0.65,0.67,0.25,-0.26,2.54,2.59,0.37,-0.38
0.31,0.69,1.6,0.58,3.49,0.5,0.76,314,11,0.45,-0.59,0.07,-0.09,0.84,1.1,0.18,-0.24,2.73,3.6,0.26,-0.35
0.36,0.55,1.56,0.61,3.47,0.48,0.79,315,11,0.43,-0.55,0.24,-0.3,0.77,0.98,0.18,-0.22,2.68,3.4,0.31,-0.39
0.34,0.54,1.53,0.66,3.44,0.51,0.87,316,11,0.53,-0.61,0.33,-0.38,0.66,0.76,0.21,-0.24,2.58,2.97,0.35,-0.41
0.28,0.57,1.5,0.61,3.42,0.47,0.84,317,11,0.56,-0.67,0.27,-0.32,0.66,0.78,0.23,-0.27,2.58,3.08,0.37,-0.44
0.31,0.58,1.46,0.57,3.4,0.45,0.77,318,11,0.45,-0.59,0.19,-0.24,0.7,0.91,0.19,-0.25,2.63,3.43,0.32,-0.42
0.3,0.55,1.43,0.51,3.38,0.39,0.71,319,11,0.41,-0.57,0.16,-0.22,0.73,1.03,0.19,-0.28,2.67,3.78,0.31,-0.44
0.29,0.49,1.4,0.56,3.36,0.46,0.68,320,11,0.39,-0.58,0.19,-0.28,0.72,1.05,0.13,-0.19,2.68,3.92,0.23,-0.33
0.23,0.49,1.36,0.61,3.34,0.48,0.83,321,11,0.6,-0.72,0.34,-0.41,0.53,0.64,0.22,-0.27,2.51,3.02,0.35,-0.42
0.27,0.58,1.33,0.48,3.17,0.38,0.65,322,11,0.38,-0.59,0.07,-0.11,0.68,1.05,0.17,-0.26,2.52,3.87,0.27,-0.42
0.25,0.46,1.3,0.55,3.15,0.44,0.77,323,11,0.51,-0.67,0.31,-0.4,0.54,0.7,0.22,-0.28,2.39,3.1,0.33,-0.43
0.24,0.53,1.28,0.48,3.14,0.4,0.61,324,11,0.36,-0.6,0.07,-0.12,0.67,1.11,0.12,-0.2,2.54,4.19,0.21,-0.35
0.2,0.47,1.25,0.55,3.13,0.44,0.73,325,11,0.53,-0.73,0.26,-0.36,0.53,0.73,0.17,-0.24,2.41,3.32,0.28,-0.39
0.19,0.49,1.23,0.56,3.12,0.45,0.75,326,11,0.56,-0.75,0.26,-0.35,0.47,0.63,0.19,-0.25,2.37,3.14,0.31,-0.41
